N° progressivo;N° catalogo;Conferente;Anno;ID Par;Paragrafo;ID Arg;Argomento;ID Sub;Subargomento;ID TL;Tipo lotto;Simbolo;N° pezzi;Descrizione;Immagine;Col;B/N;Virata;Seppia;Foto;FG;GF;Colore;Titolo;Codice magazzino;Codice committente;Ragione sociale;Nota carico;Prezzo base;Off te 1;Offerta1;Off te 2;Offerta2;Off te 3;Offerta3;Off te 4;Offerta 4;Vincente;ad Euro;Riferimento Sassone;Indirizzo;Indirizzo 1
19145;301;;1936;;ITALIA REGNO;;;;;;Nuovo senza linguella;;1;Orazio compl. (N. 398/ 405 + PA 95/ 99). Catal. € 600,00.;;1;0;0;0;0;0;;;;;;;;€ 200,00;;;;;;0;;;;;0398;;
19146;302;;1936;;ITALIA REGNO;;;;;;Nuovo con linguella;;1;Orazio compl. (N. 398/ 405 + PA 95/ 99). Catal. € 240,00.;;1;0;0;0;0;0;;;;;;;;€ 70,00;;;;;;0;;;;;0398;;
19147;303;;1937;;ITALIA REGNO;;;;;;Usato;;1;Colonie estive (N. 406/ 15), annulli non garantiti. Catal. € 750,00 per annulli originali.;;1;0;0;0;0;0;;;;;;;;€ 80,00;;;;;;0;;;;;0406;;
19148;304;;1937;;ITALIA REGNO;;;;;;Nuovo senza linguella;;1;Augusto compl. (N. 416/ 25 + PA 106/ 110). Catal. € 750,00.;;1;0;0;0;0;0;;;;;;;;€ 220,00;;;;;;0;;;;;0416;;
19149;305;;1937;;ITALIA REGNO;;;;;;Nuovo con linguella;;1;Augusto compl. (N. 416/ 25 + PA 106/ 110), linguella leggerissima. Catal. € 300,00.;;1;0;0;0;0;0;;;;;;;;€ 90,00;;;;;;0;;;;;0416;;
19150;306;;1938;;ITALIA REGNO;;;;;;Nuovo con linguella;;1;Proclamazione dell'Impero compl. (N. 439/ 48 + PA 111/ 16), linguella molto leggera. Catal. € 160,00.;;1;0;0;0;0;0;;;;;;;;€ 50,00;;;;;;0;;;;;0439;;
18980;152;;1857/59;;ANTICHI STATI;;Toscana;;;;Usato;;1;Leone 1 q (N. 10), ottimo aspetto, un minimo punto chiaro. Catal. € 1.250,00.;;1;0;0;0;0;0;;;;;;;;€ 120,00;;;;;;0;;;;;0010;;
18981;153;;1857;;ANTICHI STATI;;Toscana;;;;Usato;;1;Leone 2 cr. (N. 13), ottima qualità e margini. Catal. € 225,00.;;1;0;0;0;0;0;;;;;;;;€ 75,00;;;;;;0;;;;;0013;;
18982;154;;1857;;ANTICHI STATI;;Toscana;;;;Usato;;1;Leone 4 cr. (N. 14). Ottimi margini, catal. € 250,00.;;1;0;0;0;0;0;;;;;;;;€ 85,00;;;;;;0;;;;;0014;;
18983;155;;1857;;ANTICHI STATI;;Toscana;;;;Usato;;1;Leone 4 cr. (N. 14), margini da molto buoni a splendidi. Catal. € 250,00.;;1;0;0;0;0;0;;;;;;;;€ 80,00;;;;;;0;;;;;0014;;
18984;157;;1857;;ANTICHI STATI;;Toscana;;;;Usato;;1;Leone 6 cr (N. 15), ottima qualità e margini, firmato Raybaudi. Catal. € 400,00.;;1;0;0;0;0;0;;;;;;;;€ 140,00;;;;;;0;;;;;0015;;
18985;156;;1857;;ANTICHI STATI;;Toscana;;;;Usato;;1;Leone 6 cr. (N. 15), splendida qualità e margini, firmato Dr. Ferchenbauer. Catal. € 400,00++.;;1;0;0;0;0;0;;;;;;;;€ 160,00;;;;;;0;;;;;0015;;
18986;162;;1860;;ANTICHI STATI;;Toscana;;;;Frammento;;1;Governo Provvisorio - Cent. 10 (N. 19), margini da molto buoni ad ottimi. Catal. € 95,00.;;1;0;0;0;0;0;;;;;;;;€ 30,00;;;;;;0;;;;;0019;;
18987;164;;1860;;ANTICHI STATI;;Toscana;;;;Usato;;1;Governo Provvisorio - Cent. 20 (N. 20), eccellente qualità e margini, firmato Dr. Ferchenbauer. Catal. € 250,00++.;;1;0;0;0;0;0;;;;;;;;€ 110,00;;;;;;0;;;;;0020;;
18988;165;;1860;;ANTICHI STATI;;Toscana;;;;Usato;;1;Governo Provvisorio - Cent. 20 (N. 20), splendida qualità. Catal. € 250,00.;;1;0;0;0;0;0;;;;;;;;€ 100,00;;;;;;0;;;;;0020;;
18989;167;;1860;;ANTICHI STATI;;Toscana;;;;Usato;;1;Governo Provvisorio - Cent. 20 (N. 20), un margine appena toccato in un punto. Catal. € 250,00.;;1;0;0;0;0;0;;;;;;;;€ 30,00;;;;;;0;;;;;0020;;
18990;169;;1860;;ANTICHI STATI;;Toscana;;;;Usato;;1;Governo Provvisorio - Cent. 40 (N. 21), margini da molto buoni ad ottimi, firmato G. Oliva + A. Diena. Catal. € 450,00.;;1;0;0;0;0;0;;;;;;;;€ 165,00;;;;;;0;;;;;0021;;
18991;170;;1860;;ANTICHI STATI;;Toscana;;;;Usato;;1;Governo Provvisorio - Cent. 80 (N. 22), margini da buoni ad ottimi, periziato. Catal. € 2.000,00. Foto.;;1;0;0;0;0;0;;;;;;;;€ 650,00;;;;;;0;;;;;0022;;
18992;171;;1860;;ANTICHI STATI;;Toscana;;;;Usato;;1;Governo Provvisorio - Cent. 80 (N. 22), margini insufficienti, in particolare a destra. Catal. € 2.000,00.;;1;0;0;0;0;0;;;;;;;;€ 100,00;;;;;;0;;;;;0022;;
18993;172;;1862;;ITALIA REGNO;;;;;;Frammento;;1;Effigie in rilievo cent. 10 arancio ocra (N. 1 h), bordo di foglio, su piccolo frammento. Splendido, catal. € 600,00++. Foto.;;1;0;0;0;0;0;;;;;;;;€ 200,00;;;;;;0;;;;230,00;0001h;;
18994;173;;1862;;ITALIA REGNO;;;;;;Frammento;;1;Effigie Vittorio Emanuele II cent. 10 non dentell. in basso (N. 1 k) su piccolo frammento. Ottima qualità, margine inferiore circa 2 mm, firmato A. Diena. Catal. € 800,00++.;;1;0;0;0;0;0;;;;;;;;€ 250,00;;;;;;0;;;;;0001k;;
18851;10;;1854/57;;ANTICHI STATI;;Lombardo Veneto;;;;Usato;;1;Stemma cent. 10 carta a macchina (N. 19). Ottima qualità, catal. € 650,00.;;1;0;0;0;0;0;;;;;;;;€ 220,00;;;;;;0;;;;;0019;;
18852;11;;1858;;ANTICHI STATI;;Lombardo Veneto;;;;Usato;;1;Effigie 3 s I tipo (N. 24). Ottima qualità, catal. € 500,00.;;1;0;0;0;0;0;;;;;;;;€ 165,00;;;;;;0;;;;;0024;;
18853;13;;1859;;ANTICHI STATI;;Lombardo Veneto;;;;Frammento;;1;Effigie II tipo 2 s e 3 s (N. 28 - 29) su unico frammento, annullo Revere. Splendidi, firmati G. Bolaffi. Catal. € 540,00+. Foto.;;1;0;0;0;0;0;;;;;;;;€ 220,00;;;;;;0;;;;;0028;;
18854;14;;1859;;ANTICHI STATI;;Lombardo Veneto;;;;Frammento;;1;Effigie 2 s II tipo (N. 28) su piccolo frammento. Catal. € 240,00.;;1;0;0;0;0;0;;;;;;;;€ 80,00;;;;;;0;;;;;0028;;
18855;12;;1858;;ANTICHI STATI;;Lombardo Veneto;;;;Usato;;1;Effigie F. Giuseppe 10 s I tipo (N. 26), ottima qualità, catal. € 180,00.;;1;0;0;0;0;0;;;;;;;;€ 65,00;;;;;;0;;;;;0026;;
18856;15;;1859;;ANTICHI STATI;;Lombardo Veneto;;;;Nuovo con linguella;;1;Effigie 5 s II tipo (N. 30), bell'aspetto, minimamente difettoso. Catal. € 1.000,00.;;1;0;0;0;0;0;;;;;;;;€ 75,00;;;;;;0;;;;;0030;;
18857;16;;1859;;ANTICHI STATI;;Lombardo Veneto;;;;Usato;;1;Effigie 10 s II tipo (N. 31). Ottima qualità, catal. € 32,00.;;1;0;0;0;0;0;;;;;;;;€ 12,00;;;;;;0;;;;;0031;;
18858;17;;1862;;ANTICHI STATI;;Lombardo Veneto;;;;Usato;;1;Effigie 3 s (N. 35), ottima qualità, firmato A. Diena. Catal. € 185,00.;;1;0;0;0;0;0;;;;;;;;€ 65,00;;;;;;0;;;;;0035;;
18859;19;;1863;;ANTICHI STATI;;Lombardo Veneto;;;;Usato;;1;Stemma 2 s dent. 14 (N. 36), firmato A. Diena. Molto bello, catal. € 300,00.;;1;0;0;0;0;0;;;;;;;;€ 90,00;;;;;;0;;;;;0036;;
18860;21;;1864;;ANTICHI STATI;;Lombardo Veneto;;;;Nuovo con linguella;;1;Stemma 3 s + 5 s dent. 9 1/2 (N. 42/ 43). Catal. € 87,00.;;1;0;0;0;0;0;;;;;;;;€ 30,00;;;;;;0;;;;;0042;;
18861;24;;1852;;ANTICHI STATI;;Modena;;;;Frammento;;1;Stemma cent. 5 (N. 1), splendido, certific. G. Bolaffi. Catal. € 240,00++.;;1;0;0;0;0;0;;;;;;;;€ 95,00;;;;;;0;;;;;0001;;
18862;25;;1852;;ANTICHI STATI;;Modena;;;;Usato;;1;Stemma cent. 10 (N. 2), ottima qualità, catal. € 125,00.;;1;0;0;0;0;0;;;;;;;;€ 40,00;;;;;;0;;;;;0002;;
18863;26;;1852;;ANTICHI STATI;;Modena;;;;Nuovo con linguella;;1;Stemma cent. 15 senza punto dopo "cent" (N. 3 c). Ottima qualità, timbrino peritale. Catal. € 550,00.;;1;0;0;0;0;0;;;;;;;;€ 175,00;;;;;;0;;;;;0003c;;
18864;27;;1852;;ANTICHI STATI;;Modena;;;;Frammento;;1;Stemma cent. 25 (N. 4). Catal. € 90,00.;;1;0;0;0;0;0;;;;;;;;€ 30,00;;;;;;0;;;;;0004;;
18865;28;;1852;;ANTICHI STATI;;Modena;;;;Usato;;1;Stemma cent. 5 verde oliva con punto dopo la cifra (N. 8). Ottima qualità, firma e classifica G. Oliva. Catal. € 200,00.;;1;0;0;0;0;0;;;;;;;;€ 70,00;;;;;;0;;;;;0008;;
18866;29;;1852;;ANTICHI STATI;;Modena;;;;Frammento;;1;Stemma cent. 10 (N. 9), splendido, bordo di foglio, certific. G. Bolaffi. Catal. € 725,00++. Foto.;;1;0;0;0;0;0;;;;;;;;€ 300,00;;;;;;0;;;;;0009;;
18867;30;;1852;;ANTICHI STATI;;Modena;;;;Usato;;1;Stemma cent. 10 con punto (N. 9), molto bello, catal. € 600,00.;;1;0;0;0;0;0;;;;;;;;€ 200,00;;;;;;0;;;;;0009;;
18868;31;;1852;;ANTICHI STATI;;Modena;;;;Nuovo con linguella;;1;Stemma cent. 10 con punto, colore rosa vivo (N. 9 a), splendido, linguella molto leggera. Catal. € 900,00++. Foto.;;1;0;0;0;0;0;;;;;;;;€ 330,00;;;;;;0;;;;;0009a;;
18869;32;;1852;;ANTICHI STATI;;Modena;;;;Usato;;1;Stemma cent. 40 con punto dopo le cifre (N. 10), ottima qualità, firmato A. Diena. Catal. € 175,00.;;1;0;0;0;0;0;;;;;;;;€ 60,00;;;;;;0;;;;;0010;;
18870;34;;1852;;ANTICHI STATI;;Modena;;;;Nuovo con linguella;;1;Stemma L. 1 (N. 11), ottima qualità. Catal. € 90,00.;;1;0;0;0;0;0;;;;;;;;€ 30,00;;;;;;0;;;;;0011;;
18871;36;;1859;;ANTICHI STATI;;Modena;;;;Frammento;;1;Governo Provvisorio cent. 20 ardesia violaceo (N. 15). Eccellente qualità, timbrino peritale G. Bolaffi. Catal. € 325,00+.;;1;0;0;0;0;0;;;;;;;;€ 140,00;;;;;;0;;;;;0015;;
18872;37;;1859;;ANTICHI STATI;;Modena;;;;Nuovo con linguella;;1;Governo Provvisorio - Stemma cent. 40 senza punto dopo "40"(N. 17 f). Ottima qualità, firmato A. Diena + En. Diena. Catal. € 600,00.;;1;0;0;0;0;0;;;;;;;;€ 200,00;;;;;;0;;;;200,00;0017;;
18873;39;;1858;;ANTICHI STATI;;Napoli;;;;Frammento;;1;Stemma 2 g I tav. (N. 5), 2 esempl. accostati, annullo "Annullato" + Bagnara ovale in rosso (P.ti 5). A lato "Assicurata" lineare in rosso.;;1;0;0;0;0;0;;;;;;;;€ 25,00;;;;;;0;;;;;0005;;
18874;40;;1858;;ANTICHI STATI;;Napoli;;;;Frammento;;1;Piccolo frammento con 2 g I tav (N. 5) + 10 g II tav (N. 11). Ottima qualità complessiva, catal. € 680,00.;;1;0;0;0;0;0;;;;;;;;€ 220,00;;;;;;0;;;;;0005;;
18875;43;;1861;;ANTICHI STATI;;Napoli;;;;Usato;;1;Province Napoletane - 1/2 t verde giallo chiaro (N. 17 a). Margini ottimi eccettuato in basso a destra che è a filo. Firma e classifica G. Oliva. Catal. € 600,00. Foto.;;1;0;0;0;0;0;;;;;;;;€ 150,00;;;;;;0;;;;;0017a;;
18876;38;;1858;;ANTICHI STATI;;Napoli;;;;Frammento;;1;Frammento con 1 g II tav + 2 g I tav (N. 4 + 5). Catal. € 115,00+, classificati dal Dr. Ferchenbauer con numerazione Michel.;;1;0;0;0;0;0;;;;;;;;€ 45,00;;;;;;0;;;;;0003;;
18877;44;;1861;;ANTICHI STATI;;Napoli;;;;Usato;;1;Province Napoletane - 1/2 t verde giallo (N. 17 e), discreta qualità, firma e classifica Sorani. Catal. € 450,00.;;1;0;0;0;0;0;;;;;;;;€ 100,00;;;;;;0;;;;;0017e;;
18878;45;;1861;;ANTICHI STATI;;Napoli;;;;Nuovo con linguella;;1;Province Napoletane - 1/2 g (N. 18). Ottima qualità, linguella leggerissima. Firmato A. Diena. Catal. € 300,00.;;1;0;0;0;0;0;;;;;;;;€ 120,00;;;;;;0;;;;;0018;;
18879;46;;1861;;ANTICHI STATI;;Napoli;;;;Usato;;1;Province Napoletane - 1 g (N. 19). Splendido, firmato Sorani. Catal. € 50,00++.;;1;0;0;0;0;0;;;;;;;;€ 30,00;;;;;;0;;;;;0019;;
18846;1;;1850;;ANTICHI STATI;;Lombardo Veneto;;;;Usato;;1;Stemma cent. 5 (N. 1), ottima qualità, firmato A. Diena. Catal. € 250,00.;;1;0;0;0;0;0;;;;;;;;€ 80,00;;;;;;0;;;;;0001;;
18880;47;;1861;;ANTICHI STATI;;Napoli;;;;Usato;;1;Province Napoletane - 1 g (N. 19) in coppia. Ottimi margini, su minuscolo frammento. Catal. € 110,00.;;1;0;0;0;0;0;;;;;;;;€ 35,00;;;;;;0;;;;;0019;;
18881;50;;1861;;ANTICHI STATI;;Napoli;;;;Nuovo con linguella;;1;Province Napoletane - 2 g (N. 20) con doppia effigie ben discosta (circa 1 mm), splendido. Catal. circa € 600,00.;;1;0;0;0;0;0;;;;;;;;€ 200,00;;;;;;0;;;;;0020;;
18882;48;;1861;;ANTICHI STATI;;Napoli;;;;Usato;;1;Province Napoletane - 1 gr - 2 gr - 5 gr (N. 19 - 20 - 21), tutti di ottima qualità. Catal. € 295,00.;;1;0;0;0;0;0;;;;;;;;€ 90,00;;;;;;0;;;;;0019;;
18883;49;;1861;;ANTICHI STATI;;Napoli;;;;Nuovo con linguella;;1;Province Napoletane - 1 g grigio scuro (N. 19 a), ottima qualità. Catal. € 650,00.;;1;0;0;0;0;0;;;;;;;;€ 235,00;;;;;;0;;;;;0019a;;
18884;51;;1861;;ANTICHI STATI;;Napoli;;;;Nuovo con linguella;;1;Province Napoletane - 2 g azzurro con effigie capovolta (N. 20 b/ f). In buono stato di conservazione. Certific. Raybaudi. Catal. € 700,00.;;1;0;0;0;0;0;;;;;;;;€ 200,00;;;;;;0;;;;;0020bf;;
18885;52;;1861;;ANTICHI STATI;;Napoli;;;;Usato;;1;Province Napoletane - 2 g azzurro ardesia (N. 20 c), ottima qualità. Catal. € 300,00.;;1;0;0;0;0;0;;;;;;;;€ 110,00;;;;;;0;;;;;0020c;;
18886;53;;1861;;ANTICHI STATI;;Napoli;;;;Nuovo con linguella;;1;Province Napoletane - 5 g (N. 21). Ottima qualità, firmato A. Diena. Catal. € 400,00.;;1;0;0;0;0;0;;;;;;;;€ 145,00;;;;;;0;;;;;0021;;
18887;54;;1861;;ANTICHI STATI;;Napoli;;;;Frammento;;1;Province Napoletane - 5 g (N. 21), splendido. Catal. € 275,00++.;;1;0;0;0;0;0;;;;;;;;€ 110,00;;;;;;0;;;;;0021;;
18888;55;;1861;;ANTICHI STATI;;Napoli;;;;Usato;;1;Province Napoletane - 5 g lilla (n. 21 c), splendido, firmato A. Diena. Catal. € 650,00.;;1;0;0;0;0;0;;;;;;;;€ 225,00;;;;;;0;;;;;0021c;;
18889;56;;1861;;ANTICHI STATI;;Napoli;;;;Usato;;1;Province Napoletane - 5 g rosa (N. 21 e). Molto bello, catal. € 275,00.;;1;0;0;0;0;0;;;;;;;;€ 85,00;;;;;;0;;;;;0021e;;
18890;57;;1861;;ANTICHI STATI;;Napoli;;;;Usato;;1;Province Napoletane - 5 g carminio (N. 21 f). Molto bello, firma A. Diena, catal. € 275,00.;;1;0;0;0;0;0;;;;;;;;€ 85,00;;;;;;0;;;;;0021f;;
18891;58;;1861;;ANTICHI STATI;;Napoli;;;;Nuovo con linguella;;1;Province Napoletane - 10 g (N. 22), ottima qualità, firmato Raybaudi. Catal. € 160,00.;;1;0;0;0;0;0;;;;;;;;€ 55,00;;;;;;0;;;;;0022;;
18892;59;;1861;;ANTICHI STATI;;Napoli;;;;Nuovo senza linguella;;1;Province Napoletane - 10 g bistro (N. 22 c), ottima qualità, firma e classifica Raybaudi. Quartina con 3 esemplari difettosi e non considerati. Catal. per esemplare singolo € 370,00++.;;1;0;0;0;0;0;;;;;;;;€ 130,00;;;;;;0;;;;;0022c;;
18893;60;;1861;;ANTICHI STATI;;Napoli;;;;Usato;;1;Province Napoletane - 10 g bistro arancio (N. 22 d). Ottima qualità, firmato A. Diena. Catal. € 450,00.;;1;0;0;0;0;0;;;;;;;;€ 150,00;;;;;;0;;;;;0022d;;
18894;62;;1852;;ANTICHI STATI;;Parma;;;;Usato;;1;Stemma cent. 5 (N. 1), splendida qualità e margini. Catal. € 250,00.;;1;0;0;0;0;0;;;;;;;;€ 85,00;;;;;;0;;;;;0001;;
18895;63;;1852;;ANTICHI STATI;;Parma;;;;Usato;;1;Stemma cent. 5 (N. 1), splendida qualità e margini. Firmato A. Diena. Catal. € 250,00.;;1;0;0;0;0;0;;;;;;;;€ 85,00;;;;;;0;;;;;0001;;
18896;65;;1852;;ANTICHI STATI;;Parma;;;;Usato;;1;Stemma cent. 5 (N. 1), splendida coppia orizzontale, timbrino peritale. Catal. € 500,00++.;;1;0;0;0;0;0;;;;;;;;€ 175,00;;;;;;0;;;;;0001;;
18897;66;;1852;;ANTICHI STATI;;Parma;;;;Usato;;1;Stemma cent. 10 (N. 2), ottima qualità. Catal. € 250,00.;;1;0;0;0;0;0;;;;;;;;€ 70,00;;;;;;0;;;;;0002;;
18898;67;;1852;;ANTICHI STATI;;Parma;;;;Frammento;;1;Stemma cent. 40 (N. 5) su piccolo frammento. Ottima qualità e margini, firmato G. Bolaffi. Catal. € 900,00++.;;1;0;0;0;0;0;;;;;;;;€ 300,00;;;;;;0;;;;;0005;;
18899;68;;1853/55;;ANTICHI STATI;;Parma;;;;Usato;;1;Stemma cent. 15 (N. 7), splendido, firmato A. Diena + certific. Raybaudi. Catal. € 400,00++.;;1;0;0;0;0;0;;;;;;;;€ 140,00;;;;;;0;;;;;0007;;
18900;69;;1853/55;;ANTICHI STATI;;Parma;;;;Usato;;1;Stemma cent. 15 vermiglio chiaro (N. 7 b), 3 ottimi margini, margine in alto regolare. Catal. € 450,00.;;1;0;0;0;0;0;;;;;;;;€ 120,00;;;;;;0;;;;;0007b;;
18901;70;;1853/55;;ANTICHI STATI;;Parma;;;;Usato;;1;Stemma cent. 25, bruno rosso scuro (N. 8 a). Splendido, firmato A. Diena + G. Bolaffi. Catal. € 700,00++. Foto.;;1;0;0;0;0;0;;;;;;;;€ 250,00;;;;;;0;;;;;0008a;;
18902;71;;1857/59;;ANTICHI STATI;;Parma;;;;Usato;;1;Stemma cent. 15 (N. 9). Splendido aspetto, piccola ed invisibile riparazione. Catal. € 600,00.;;1;0;0;0;0;0;;;;;;;;€ 60,00;;;;;;0;;;;;0009;;
18903;73;;1857/59;;ANTICHI STATI;;Parma;;;;Nuovo con linguella;;1;Stemma cent. 25 (N. 10), leggere grinze originali di gomma. Catal. € 1.100,00.;;1;0;0;0;0;0;;;;;;;;€ 150,00;;;;;;0;;;;;0010;;
18904;74;;1857/59;;ANTICHI STATI;;Parma;;;;Frammento;;1;Stemma cent. 25 (N. 10), buona qualità. Catal. € 425,00.;;1;0;0;0;0;0;;;;;;;;€ 125,00;;;;;;0;;;;;0010;;
18905;76;;1857/59;;ANTICHI STATI;;Parma;;;;Usato;;1;Stemma cent. 25 (N. 10), buona qualità, catal. € 350,00.;;1;0;0;0;0;0;;;;;;;;€ 110,00;;;;;;0;;;;;0010;;
18906;77;;1859;;ANTICHI STATI;;Parma;;;;Senza gomma;;1;Governo Provvisorio - Cent. 20 (N. 15). Ottima qualità, catal. per senza gomma € 500,00.;;1;0;0;0;0;0;;;;;;;;€ 165,00;;;;;;0;;;;;0015;;
18907;78;;1852;;ANTICHI STATI;;Pontificio;;;;Usato;;1;Stemma 1/2 b grigio (N. 1), coppia verticale della quale consideriamo solo un esemplare (l'altro ha qualche imperfezione). Catal. € 165,00.;;1;0;0;0;0;0;;;;;;;;€ 55,00;;;;;;0;;;;;0001;;
18908;79;;1852;;ANTICHI STATI;;Pontificio;;;;Nuovo con linguella;;1;Stemma 2 b grigio azzurrastro, carta sottile (N. 3 Ab). Ottima qualità, linguella leggerissima. Catal. € 1.500,00. Foto.;;1;0;0;0;0;0;;;;;;;;€ 520,00;;;;;;0;;;;520,00;0003Ab;;
